pdbid,LigandRmsdMean,LigandRmsdSd,ProteinRmsdMean,ProteinRmsdSd,di1_1-4 EEL_mean,di1_1-4 EEL_sd,di1_1-4 VDW_mean,di1_1-4 VDW_sd,di1_DELTA G gas_mean,di1_DELTA G gas_sd,di1_DELTA G solv_mean,di1_DELTA G solv_sd,di1_DELTA TOTAL_mean,di1_DELTA TOTAL_sd,di1_EDISPER_mean,di1_EDISPER_sd,di1_EEL_mean,di1_EEL_sd,di1_ENPOLAR_mean,di1_ENPOLAR_sd,di1_EPB_mean,di1_EPB_sd,di4_1-4 EEL_mean,di4_1-4 EEL_sd,di4_1-4 VDW_mean,di4_1-4 VDW_sd,di4_DELTA G gas_mean,di4_DELTA G gas_sd,di4_DELTA G solv_mean,di4_DELTA G solv_sd,di4_DELTA TOTAL_mean,di4_DELTA TOTAL_sd,di4_EDISPER_mean,di4_EDISPER_sd,di4_EEL_mean,di4_EEL_sd,di4_ENPOLAR_mean,di4_ENPOLAR_sd,di4_EPB_mean,di4_EPB_sd,index,owner,VDW
5upz,1.935713586,0.042295115,1.586098099,0.008613685,0,6E-05,0,4E-05,-91.70954,11.49136,67.64792,10.30538,-24.06164,6.77258,0,0,-33.3436,12.408,-6.52844,0.27358,74.17632,10.36436,0,6E-05,0,4E-05,-66.70186,4.09054,11.76956,2.37116,-54.93226,3.55092,0,0,-8.33588,3.10198,-6.52844,0.27358,18.298,2.4253,10237,SHUBHAM,-58.36598
5k52,1.228632102,0.015978585,1.600907575,0.005429369,0,6E-05,0,2E-05,-66.69958,5.77484,27.3376,5.64762,-39.362,3.64004,0,0,-12.26378,4.82956,-4.77116,0.0913,32.10878,5.6482,0,6E-05,0,2E-05,-57.50174,3.23542,2.562,1.38318,-54.93978,2.72378,0,0,-3.06594,1.2074,-4.77116,0.0913,7.33316,1.38494,4979,PRADEEP,-54.4358
1m3z,1.689083252,0.012313728,2.114897212,0.014481009,0,6E-05,0,8E-05,-110.31838,8.13516,86.55594,8.76062,-23.76244,5.93014,0,0,-52.9259,8.18184,-6.25076,0.22484,92.8067,8.8704,0,6E-05,0,8E-05,-70.62398,3.76688,15.633,1.93548,-54.99098,3.47678,0,0,-13.23148,2.04548,-6.25076,0.22484,21.88376,2.04214,6187,ROHIT,-57.39254
6hkm,0.691872963,0.008291852,2.542717976,0.011581015,0,0,0,2E-05,-71.3109,5.82958,34.90484,5.52524,-36.40604,4.25196,0,0,-15.8539,4.4131,-5.17132,0.13742,40.0762,5.55684,0,0,0,2E-05,-59.42046,3.457,4.4268,1.24752,-54.99368,2.99478,0,0,-3.96346,1.10326,-5.17132,0.13742,9.59812,1.27564,6834,PRADEEP,-55.45702
1gij,0.787605189,0.009287796,2.536768961,0.0076615,0,8E-05,0,0,-110.01892,5.68492,69.84964,4.51822,-40.1693,4.23458,0,0,-55.80006,5.49148,-4.15994,0.08716,74.00962,4.5262,0,8E-05,0,0,-68.16888,3.3605,13.16814,1.04658,-55.00072,3.25806,0,0,-13.95,1.37286,-4.15994,0.08716,17.32808,1.05248,7243,SARVESH,-54.21886
6gb3,0.794045276,0.006722218,1.943218647,0.013759216,0,6E-05,0,2E-05,-115.39362,5.86538,69.954,5.6377,-45.4396,4.57766,0,0,-63.92324,6.78484,-4.48626,0.07456,74.44026,5.65182,0,6E-05,0,2E-05,-67.45118,3.10678,12.42748,1.29082,-55.02374,3.22572,0,0,-15.98078,1.6962,-4.48626,0.07456,16.91376,1.30446,3494,ROHIT,-51.47036
4q1w,1.794059509,0.024071628,1.522122238,0.007791344,0,2E-05,0,6E-05,-117.06882,7.6058,88.76068,7.64716,-28.30812,6.63092,0,0,-60.57908,7.52808,-5.68976,0.1731,94.45042,7.71538,0,2E-05,0,6E-05,-71.6345,3.95578,16.60464,1.71228,-55.02986,3.67234,0,0,-15.14478,1.88202,-5.68976,0.1731,22.29438,1.77574,8923,PRADEEP,-56.48974
5d48,0.511027871,0.006472644,1.616840718,0.011137804,0,2E-05,0,4E-05,-93.2382,4.44268,66.0785,4.99658,-27.15974,5.7541,0,0,-35.64766,4.65312,-5.2817,0.10102,71.3602,5.04364,0,2E-05,0,4E-05,-66.50246,2.61532,11.43206,1.11074,-55.0704,2.6028,0,0,-8.9119,1.16328,-5.2817,0.10102,16.71374,1.15508,4168,SHRUTI,-57.59052
4w4w,0.704982824,0.018686936,2.192507883,0.008661089,0,8E-05,0,6E-05,-78.45126,5.6985,38.18146,5.16718,-40.26982,3.46684,0,0,-23.72434,5.66226,-4.63802,0.1642,42.8195,5.16482,0,8E-05,0,6E-05,-60.658,2.92854,5.587,1.21136,-55.07104,2.76834,0,0,-5.93108,1.41556,-4.63802,0.1642,10.22504,1.20468,8523,PRADEEP,-54.72694
5igj,1.564417531,0.009681597,2.075196079,0.015358027,0,2E-05,0,4E-05,-86.7058,8.38664,53.24018,6.65116,-33.46566,4.33164,0,0,-32.01898,8.27618,-6.72542,0.22794,59.96558,6.73264,0,2E-05,0,4E-05,-62.69154,4.31068,7.61564,1.51664,-55.0759,3.858,0,0,-8.00478,2.06906,-6.72542,0.22794,14.34108,1.59216,1334,DIVYAK,-54.68682
3gen,0.445754351,0.014159288,3.995474211,0.039898106,0,4E-05,0,4E-05,-74.27506,3.5828,37.72378,4.00516,-36.55124,4.02178,0,0,-18.5311,3.58744,-4.65894,0.1089,42.38274,4.01816,0,4E-05,0,4E-05,-60.37674,2.48596,5.29572,0.92078,-55.081,2.59958,0,0,-4.63276,0.89686,-4.65894,0.1089,9.95468,0.9323,7865,SARVESH,-55.74394
1w34,1.284095176,0.014252661,1.585516807,0.007996217,0,4E-05,0,4E-05,-134.75642,8.1525,99.27964,6.69932,-35.47678,5.8573,0,0,-80.7792,9.41736,-5.70712,0.2218,104.98674,6.7419,0,4E-05,0,4E-05,-74.17202,3.20422,19.08906,1.53336,-55.08296,3.08886,0,0,-20.19478,2.35434,-5.70712,0.2218,24.79618,1.56584,7062,PRADEEP,-53.97724
5i59,0.392054175,0.006075459,2.263380116,0.011550851,0,6E-05,0,2E-05,-85.28776,7.2328,54.74848,5.0196,-30.5393,4.39716,0,0,-27.4677,7.44624,-4.43256,0.0867,59.18102,5.03418,0,6E-05,0,2E-05,-64.68698,2.95882,9.58994,1.1661,-55.09708,2.72426,0,0,-6.86692,1.86158,-4.43256,0.0867,14.0225,1.17876,2528,PRADEEP,-57.8201
4uyn,0.523985102,0.006551913,2.249762328,0.009971737,0,6E-05,0,2E-05,-100.07866,6.5095,61.06566,5.52056,-39.01302,3.9791,0,0,-45.6897,6.38052,-5.19908,0.15196,66.26476,5.55382,0,6E-05,0,2E-05,-65.8114,3.44804,10.7051,1.25246,-55.1063,3.18714,0,0,-11.4224,1.59512,-5.19908,0.15196,15.9042,1.2838,4717,ROHIT,-54.38896
1ohr,1.474561807,0.010796709,1.53033102,0.007074189,0,0,0,4E-05,-107.87596,7.67158,79.9907,7.57418,-27.88522,6.68998,0,0,-51.3313,7.48632,-6.1925,0.1762,86.1832,7.6371,0,0,0,4E-05,-69.37746,3.68764,14.26796,1.70026,-55.1095,3.23156,0,0,-12.83282,1.87158,-6.1925,0.1762,20.46044,1.75812,5032,PRADEEP,-56.54464
3elj,0.794091529,0.009904484,1.76191741,0.006793067,0,8E-05,0,4E-05,-89.82894,7.1212,49.85672,5.20022,-39.97218,4.35394,0,0,-35.49646,7.34604,-4.90856,0.1253,54.7653,5.19898,0,8E-05,0,4E-05,-63.20658,3.29136,8.09234,1.2148,-55.11424,3.08578,0,0,-8.8741,1.8365,-4.90856,0.1253,13.00092,1.2091,2842,ROHIT,-54.33246
5uc1,0.543864891,0.011019136,1.840943905,0.010757614,0,8E-05,0,2E-05,-74.48734,5.0884,33.23898,4.29528,-41.24836,3.20936,0,0,-20.39528,5.04574,-4.88998,0.12358,38.12894,4.33164,0,8E-05,0,2E-05,-59.19084,3.0029,4.0655,0.98562,-55.12536,2.80946,0,0,-5.0988,1.26144,-4.88998,0.12358,8.95548,1.02,2448,VASAVI,-54.09204
5f0f,1.277078874,0.008205327,1.673203316,0.011129828,0,4E-05,0,4E-05,-73.76246,3.8719,32.97242,3.7898,-40.79002,3.11944,0,0,-19.02142,3.99906,-4.2617,0.08532,37.23412,3.79838,0,4E-05,0,4E-05,-59.4964,2.41178,4.36536,0.86812,-55.13104,2.50198,0,0,-4.75536,0.99978,-4.2617,0.08532,8.62704,0.8729,8526,PRADEEP,-54.74106
6gdo,1.227003775,0.013496228,3.048262334,0.030644979,0,6E-05,0,2E-05,-98.2617,7.08974,64.92004,5.68052,-33.34172,4.0121,0,0,-42.13442,6.98704,-4.90168,0.16756,69.82172,5.72808,0,6E-05,0,2E-05,-66.6609,3.47718,11.5208,1.29876,-55.14012,3.12156,0,0,-10.53362,1.74676,-4.90168,0.16756,16.42244,1.33854,4391,ROHIT,-56.1273
3cde,1.022142196,0.009281132,1.419000529,0.005827754,0,6E-05,0,6E-05,-98.9388,6.29496,66.76338,5.34974,-32.17544,4.73956,0,0,-43.42612,6.47506,-5.21784,0.14528,71.98124,5.37768,0,6E-05,0,6E-05,-66.3692,3.2991,11.21318,1.16544,-55.15602,3.10084,0,0,-10.85654,1.61876,-5.21784,0.14528,16.43104,1.18902,7595,ARIHANT,-55.51268
4brx,0.801947391,0.012247407,1.885014181,0.006531119,0,2E-05,0,0.0001,-77.25074,4.47062,38.71138,3.36242,-38.53934,3.54694,0,0,-22.21126,3.57854,-4.87796,0.14036,43.58934,3.3703,0,2E-05,0,0.0001,-60.5923,3.12614,5.43488,0.78134,-55.1574,2.98798,0,0,-5.55282,0.89464,-4.87796,0.14036,10.31284,0.78134,4115,PRADEEP,-55.03948
1n2i,0.445156414,0.007813048,1.761141265,0.010501915,0,6E-05,0,6E-05,-129.77848,8.33506,92.0914,6.49182,-37.68706,5.84606,0,0,-75.4028,9.68842,-4.69264,0.09504,96.78406,6.50844,0,6E-05,0,6E-05,-73.22638,3.2485,18.03632,1.49104,-55.19006,3.36138,0,0,-18.8507,2.4221,-4.69264,0.09504,22.72896,1.5044,4418,ROHIT,-54.37568
3i60,0.530182379,0.007971988,1.978698085,0.009622066,0,4E-05,0,6E-05,-103.51636,7.40516,68.46158,8.0044,-35.05478,5.18572,0,0,-48.20748,7.8668,-5.35606,0.10436,73.81766,8.03604,0,4E-05,0,6E-05,-67.36078,3.17382,12.16712,1.83636,-55.19366,3.05274,0,0,-12.05186,1.9667,-5.35606,0.10436,17.52322,1.86726,9694,PRADEEP,-55.30892
6a21,1.059178272,0.004711362,1.916942546,0.007124357,0,4E-05,0,4E-05,-149.38604,8.54352,132.33036,8.01096,-17.05564,7.64034,0,0,-89.96818,8.98242,-5.23918,0.0891,137.56956,8.00876,0,4E-05,0,4E-05,-81.90988,4.05356,26.71134,1.8257,-55.19854,4.00844,0,0,-22.49202,2.2456,-5.23918,0.0891,31.95052,1.8247,8850,PRADEEP,-59.41786
1n71,1.648006783,0.011290029,2.063172125,0.012688306,0,2E-05,0,6E-05,-125.03796,13.1727,92.95532,11.8804,-32.08262,6.18398,0,0,-69.7968,13.73456,-6.0695,0.2154,99.02482,11.97356,0,2E-05,0,6E-05,-72.69034,4.67998,17.49092,2.67516,-55.19946,3.83246,0,0,-17.44918,3.43364,-6.0695,0.2154,23.5604,2.76098,9158,ROHIT,-55.2412
5nkg,0.957079757,0.012619833,2.571026608,0.022876757,0,2E-05,0,4E-05,-98.85886,6.8244,60.82162,6.30196,-38.03724,3.82326,0,0,-43.8074,7.28416,-5.03736,0.17214,65.85896,6.34328,0,2E-05,0,4E-05,-66.00332,3.15236,10.80054,1.44288,-55.20276,2.94732,0,0,-10.95186,1.82106,-5.03736,0.17214,15.8379,1.4781,2886,ROHIT,-55.05146
5dls,1.334708695,0.019971209,2.363353808,0.010626635,0,2E-05,0,4E-05,-99.15684,6.36732,61.68634,5.62736,-37.47054,5.06492,0,0,-43.8535,5.97286,-5.39806,0.18176,67.08438,5.68038,0,2E-05,0,4E-05,-66.2667,3.79758,11.0458,1.3543,-55.22094,3.61056,0,0,-10.9634,1.4932,-5.39806,0.18176,16.44386,1.40034,3732,DIVYAK,-55.30336
5dp0,0.669948636,0.009259431,3.651460862,0.019044069,0,8E-05,0,6E-05,-79.67878,3.58224,38.35772,2.72922,-41.32104,3.3277,0,0,-25.7161,3.558,-4.82796,0.0955,43.1857,2.73212,0,8E-05,0,6E-05,-60.39168,2.54036,5.14204,0.63732,-55.24964,2.41872,0,0,-6.42904,0.88952,-4.82796,0.0955,9.97002,0.63536,5689,SARVESH,-53.96268
2r3t,1.314863336,0.007144432,1.628696757,0.009371905,0,2E-05,0,2E-05,-127.56058,7.24076,103.39706,8.02946,-24.16348,6.15084,0,0,-69.48878,6.54378,-5.50648,0.13526,108.90352,8.061,0,2E-05,0,2E-05,-75.444,4.01238,20.18748,1.80002,-55.2565,3.70424,0,0,-17.3722,1.63592,-5.50648,0.13526,25.69396,1.83016,10248,VASAVI,-58.0718
3g1m,0.621282664,0.017220317,1.727833175,0.010012785,0,4E-05,0,4E-05,-78.01216,2.9862,38.86928,2.3211,-39.14288,3.51246,0,0,-22.69584,2.48884,-4.21436,0.07168,43.08364,2.33392,0,4E-05,0,4E-05,-60.99028,2.36566,5.72974,0.52616,-55.2605,2.42336,0,0,-5.67396,0.62222,-4.21436,0.07168,9.94416,0.53636,7403,PRADEEP,-55.31626
4at4,0.621151486,0.013802683,1.836564194,0.008368025,0,4E-05,0,0,-84.43404,4.83054,43.2498,4.28618,-41.18424,4.03872,0,0,-30.23906,4.15884,-4.85348,0.10162,48.10328,4.27722,0,4E-05,0,0,-61.75472,3.02118,6.45904,1.00436,-55.29568,2.87588,0,0,-7.55976,1.0397,-4.85348,0.10162,11.3125,0.99372,4320,SARVESH,-54.19494
4eym,1.1676067,0.005897164,2.06576001,0.009294737,0,6E-05,0,4E-05,-73.3127,4.42814,37.02422,3.96254,-36.28848,3.90172,0,0,-16.92192,4.10052,-4.67992,0.08344,41.70416,3.96674,0,6E-05,0,4E-05,-60.62128,2.835,5.31698,0.9475,-55.30428,2.7878,0,0,-4.23046,1.02514,-4.67992,0.08344,9.99686,0.95034,3017,ROHIT,-56.39078
2psu,1.553523417,0.012703621,1.473095722,0.005694632,0,6E-05,0,2E-05,-128.71436,7.38112,100.03672,7.69286,-28.67764,6.09788,0,0,-72.28438,7.22514,-5.71408,0.1283,105.75078,7.72834,0,6E-05,0,2E-05,-74.5011,3.8994,19.17258,1.73606,-55.32852,3.4442,0,0,-18.0711,1.80628,-5.71408,0.1283,24.88666,1.76914,10372,DIVYAK,-56.43
6ihd,1.534549486,0.019848063,1.898897181,0.010144207,0,6E-05,0,2E-05,-161.9452,12.28892,128.94568,11.20162,-32.99952,5.55918,0,0,-107.26702,12.24078,-5.79434,0.17818,134.74,11.24728,0,6E-05,0,2E-05,-81.49492,4.94634,26.15886,2.59118,-55.3361,3.90986,0,0,-26.81674,3.0602,-5.79434,0.17818,31.95318,2.63536,9083,PRADEEP,-54.6782
6ecx,0.864400468,0.00634952,2.21689825,0.010526487,0,2E-05,0,8E-05,-208.18616,10.49646,168.75764,8.40762,-39.4285,7.28604,0,0,-156.20836,10.81832,-4.35596,0.0933,173.11356,8.4027,0,2E-05,0,8E-05,-91.02984,4.16662,35.65834,1.89714,-55.37152,3.72826,0,0,-39.0521,2.70458,-4.35596,0.0933,40.01428,1.89258,9337,DIVYAK,-51.97774
5bnw,1.117778347,0.007151569,2.07017922,0.015119642,0,4E-05,0,6E-05,-162.93898,11.01666,137.87034,10.0513,-25.06864,7.13866,0,0,-106.08266,11.59416,-5.8063,0.09122,143.67666,10.0634,0,4E-05,0,6E-05,-83.37698,4.74588,27.99702,2.25406,-55.37996,4.1757,0,0,-26.52068,2.89852,-5.8063,0.09122,33.80338,2.26518,2811,PRADEEP,-56.85632
6et4,0.272095277,0.004848888,1.41977478,0.005035824,0,0,0,2E-05,-73.51894,4.4803,35.75604,3.64452,-37.7629,3.17608,0,0,-18.02042,4.1494,-4.42914,0.09,40.18514,3.63818,0,0,0,2E-05,-60.0036,2.72182,4.61106,0.7768,-55.3926,2.51958,0,0,-4.5051,1.03736,-4.42914,0.09,9.04014,0.76886,2512,DIVYAK,-55.49852
5tvf,1.006646864,0.017731772,4.663928586,0.044365662,0,4E-05,0,4E-05,-1184.81752,33.11258,1144.29396,31.33074,-40.52356,5.42094,0,0,-1148.12924,33.26976,-3.99662,0.18998,1148.29058,31.38556,0,4E-05,0,4E-05,-323.72058,8.59834,268.31976,7.1246,-55.40078,3.13444,0,0,-287.0323,8.31744,-3.99662,0.18998,272.31644,7.1813,5651,SHRUTI,-36.68824
4x9x,0.766051577,0.004953684,2.16871269,0.010191743,0,2E-05,0,4E-05,-75.8175,4.12902,32.23078,3.65626,-43.5867,2.74682,0,0,-22.24432,4.24226,-4.64012,0.08006,36.8709,3.6479,0,2E-05,0,4E-05,-59.13426,2.49358,3.71688,0.84878,-55.41738,2.38078,0,0,-5.56106,1.06056,-4.64012,0.08006,8.35696,0.83878,4419,ROHIT,-53.57318
1u8h,0.942429318,0.011612183,2.182586423,0.025495228,0,6E-05,0,4E-05,-262.5878,22.62104,201.50976,19.97486,-61.07802,6.90572,0,0,-217.46844,23.40394,-5.43754,0.2064,206.94728,20.11018,0,6E-05,0,4E-05,-99.48646,6.52826,44.05072,4.6768,-55.4357,4.16722,0,0,-54.36712,5.85098,-5.43754,0.2064,49.48826,4.81184,1640,PRADEEP,-45.11934
1t32,0.901639396,0.010133133,1.556383084,0.00482192,0,8E-05,0,4E-05,-114.87648,7.15506,80.77654,6.99306,-34.09996,4.62842,0,0,-59.28334,7.49084,-5.33624,0.19196,86.11276,7.05626,0,8E-05,0,4E-05,-70.41398,3.38122,14.97698,1.56496,-55.43702,3.19924,0,0,-14.82082,1.87268,-5.33624,0.19196,20.31324,1.6196,7884,ROHIT,-55.59316
2d38,1.572328274,0.018632684,1.935218218,0.008594996,0,0,0,8E-05,-59.58978,3.05644,20.75446,2.84876,-38.83534,4.04244,0,0,0,0,-1.06606,0.1544,21.82052,2.89,0,0,0,8E-05,-59.58978,3.05644,4.11328,0.6576,-55.4765,3.12864,0,0,0,0,-1.06606,0.1544,5.17936,0.68538,6525,SHRUTI,-59.58982
1yre,1.702248573,0.031289408,1.641219306,0.005538116,0,6E-05,0,4E-05,-118.6278,11.20586,93.38738,10.67262,-25.24036,6.07366,0,0,-60.94958,11.21306,-6.03898,0.20046,99.42638,10.76828,0,6E-05,0,4E-05,-72.91562,4.3361,17.40888,2.36784,-55.50674,3.67374,0,0,-15.23738,2.80324,-6.03898,0.20046,23.4479,2.46106,3896,SHRUTI,-57.67822
2e1z,1.46037674,0.010683575,1.954412845,0.01104603,0,4E-05,0,6E-05,-116.4924,9.99552,89.2497,10.41202,-27.2427,5.145,0,0,-59.91714,10.49654,-6.51454,0.27546,95.76422,10.53022,0,4E-05,0,6E-05,-71.55454,4.22854,16.03508,2.3392,-55.51948,3.6863,0,0,-14.9793,2.62414,-6.51454,0.27546,22.54962,2.45146,2750,VASAVI,-56.57526
5ycr,2.900857722,0.015501697,1.787612178,0.006910699,0,0,0,2E-05,-61.62286,3.7086,29.64096,4.50386,-31.98188,4.84218,0,0,0,0,-1.4159,0.19804,31.05688,4.56726,0,0,0,2E-05,-61.62286,3.7086,6.0905,0.95274,-55.53232,3.6076,0,0,0,0,-1.4159,0.19804,7.50644,1.00236,7967,SHRUTI,-61.62286
3r5r,1.388187049,0.023003616,1.433686829,0.006481692,0,2E-05,0,4E-05,-140.94518,11.34318,105.43932,8.5103,-35.50588,6.12444,0,0,-87.08294,11.09108,-5.66794,0.2344,111.10724,8.60102,0,2E-05,0,4E-05,-75.63298,5.31716,20.0985,1.88774,-55.53442,4.84456,0,0,-21.77074,2.77278,-5.66794,0.2344,25.76644,1.96398,10610,SHUBHAM,-53.86222
4wy3,1.253899755,0.011460054,1.548924936,0.009094387,0,4E-05,0,4E-05,-94.72836,6.3832,53.16868,5.8982,-41.55964,3.74872,0,0,-40.497,6.36202,-4.91444,0.18512,58.08316,5.9825,0,4E-05,0,4E-05,-64.35562,3.1267,8.8121,1.32558,-55.5435,2.99084,0,0,-10.12426,1.59052,-4.91444,0.18512,13.72656,1.40366,1487,DIVYAK,-54.2314
2j3l,0.784714061,0.009368024,2.019784381,0.016117435,0,6E-05,0,8E-05,-141.29092,8.42746,106.14882,7.00096,-35.1421,5.10564,0,0,-84.97386,8.90394,-4.56238,0.09234,110.71118,7.01902,0,6E-05,0,8E-05,-77.56052,3.76412,21.99624,1.58756,-55.56428,3.35326,0,0,-21.24346,2.22598,-4.56238,0.09234,26.5586,1.6011,3398,SARVESH,-56.31706
6slg,0.474296514,0.011358088,1.781234518,0.007109057,0,8E-05,0,2E-05,-105.66568,7.87472,70.20024,6.88624,-35.46542,4.32476,0,0,-50.15892,6.87702,-5.37214,0.1152,75.57238,6.91666,0,8E-05,0,2E-05,-68.04648,3.9767,12.47638,1.5994,-55.57008,3.26814,0,0,-12.53974,1.71928,-5.37214,0.1152,17.84852,1.62784,6538,SHRUTI,-55.50674
2qhy,1.723350253,0.036908463,1.452237378,0.00713932,0,2E-05,0,2E-05,-122.97198,9.67494,95.18614,8.64916,-27.78586,6.2214,0,0,-65.86846,8.27942,-5.65466,0.15644,100.8408,8.71922,0,2E-05,0,2E-05,-73.57064,4.79192,17.99896,1.87144,-55.5717,3.85124,0,0,-16.4671,2.06986,-5.65466,0.15644,23.65362,1.9385,10292,SHUBHAM,-57.10354
1fyn,1.702850164,0.014595821,1.84603028,0.011750212,0,4E-05,0,4E-05,-263.94354,20.47916,222.0189,18.72732,-41.92464,5.45596,0,0,-213.19224,20.47944,-5.98138,0.21492,228.00028,18.78906,0,4E-05,0,4E-05,-104.04932,6.20254,48.46786,4.35604,-55.58146,3.74136,0,0,-53.29804,5.11984,-5.98138,0.21492,54.44926,4.41514,7864,SARVESH,-50.75128
3h10,0.854732631,0.013082525,1.837147925,0.006727977,0,2E-05,0,8E-05,-82.8278,6.36888,45.07598,5.43966,-37.75182,4.15432,0,0,-27.56456,6.5766,-5.3687,0.20182,50.4447,5.52208,0,2E-05,0,8E-05,-62.15442,3.26136,6.49544,1.2322,-55.65898,3.2057,0,0,-6.8911,1.64414,-5.3687,0.20182,11.86414,1.30548,4885,SHRUTI,-55.2633
3tm4,0.424612748,0.006656065,2.083460316,0.019534148,0,6E-05,0,4E-05,-239.63332,9.08338,177.54446,8.02836,-62.08884,5.44462,0,0,-194.76804,9.9856,-4.2692,0.07126,181.81366,8.03286,0,6E-05,0,4E-05,-93.55724,4.49944,37.89714,1.84766,-55.66012,4.18828,0,0,-48.69202,2.4964,-4.2692,0.07126,42.16636,1.85328,5546,ROHIT,-44.86524
4yp7,2.320643029,0.012450086,3.012924362,0.030572126,0,0,0,4E-05,-63.1493,4.32308,34.90544,4.4869,-28.24386,5.767,0,0,0,0,-1.03358,0.18076,35.93902,4.55748,0,0,0,4E-05,-63.1493,4.32308,7.48122,0.9665,-55.66808,4.39476,0,0,0,0,-1.03358,0.18076,8.51482,1.02508,1321,DIVYAK,-63.1493
3ckt,1.526581919,0.016175108,1.465258716,0.007294093,0,2E-05,0,2E-05,-124.2394,8.60492,101.12222,9.75712,-23.11716,7.04762,0,0,-65.39052,7.91554,-5.8813,0.21954,107.0035,9.78724,0,2E-05,0,2E-05,-75.1965,4.89708,19.49928,2.16938,-55.69718,4.48502,0,0,-16.34762,1.9789,-5.8813,0.21954,25.38064,2.18748,1903,SHRUTI,-58.84884
6b2m,2.802114592,0.009670205,3.525112227,0.020513416,0,8E-05,0,4E-05,-148.26698,11.34634,117.25818,10.47674,-31.00882,7.72482,0,0,-92.56198,12.38424,-5.84036,0.17094,123.09852,10.528,0,8E-05,0,4E-05,-78.8455,4.58352,23.14068,2.35848,-55.70482,4.26664,0,0,-23.1405,3.09604,-5.84036,0.17094,28.98102,2.40644,9068,PRADEEP,-55.70498
4m15,0.331990888,0.005654544,1.593580528,0.005575995,0,4E-05,0,2E-05,-89.438,4.64436,46.06228,3.18122,-43.37574,4.00702,0,0,-34.88852,4.97672,-4.16408,0.08106,50.22636,3.17958,0,4E-05,0,2E-05,-63.27162,2.70888,7.55164,0.72668,-55.72,2.80154,0,0,-8.72214,1.24416,-4.16408,0.08106,11.71572,0.7246,7610,SARVESH,-54.54954
6r8l,0.59120452,0.008051048,1.039580677,0.004509113,0,2E-05,0,6E-05,-110.66466,5.80782,66.0002,3.88882,-44.66444,4.48266,0,0,-57.50878,6.3058,-4.9267,0.13248,70.92692,3.91316,0,2E-05,0,6E-05,-67.53308,3.05204,11.81112,0.89816,-55.72194,3.10016,0,0,-14.3772,1.57644,-4.9267,0.13248,16.73784,0.91404,4282,SHRUTI,-53.1559
5uad,0.492463999,0.010723187,6.174113474,0.011640106,0,0,0,4E-05,-77.99784,5.63672,44.52762,5.59812,-33.47026,3.69366,0,0,-20.46496,5.43626,-4.71198,0.11646,49.2396,5.63088,0,0,0,4E-05,-62.64916,3.10504,6.92346,1.28148,-55.72568,2.88424,0,0,-5.11624,1.35908,-4.71198,0.11646,11.63546,1.3107,6697,PRADEEP,-57.53292
5nkf,1.240946239,0.01924565,2.913656005,0.024205942,0,4E-05,0,6E-05,-97.63986,11.40048,61.21728,11.3424,-36.42258,3.83902,0,0,-41.53174,11.49536,-5.05484,0.20236,66.27212,11.4251,0,4E-05,0,6E-05,-66.49108,3.93542,10.75808,2.61768,-55.73298,2.93462,0,0,-10.38294,2.87384,-5.05484,0.20236,15.81292,2.69736,1858,SARVESH,-56.10816
4pf3,0.501985165,0.010037711,1.518631346,0.007463366,0,6E-05,0,6E-05,-83.79852,4.06058,43.18336,2.5972,-40.61516,3.54606,0,0,-28.5664,4.15568,-4.40742,0.0694,47.59078,2.60114,0,6E-05,0,6E-05,-62.37374,2.89736,6.6329,0.59792,-55.74088,2.87,0,0,-7.14158,1.03892,-4.40742,0.0694,11.04028,0.59958,1738,ROHIT,-55.23212
4ty7,0.702301256,0.011289712,1.477196633,0.005743951,0,6E-05,0,0,-101.63326,5.78104,67.73162,5.5123,-33.90162,4.34548,0,0,-44.90086,5.65334,-4.93426,0.11774,72.66588,5.54726,0,6E-05,0,0,-67.95758,3.0774,12.18112,1.19568,-55.77646,2.81842,0,0,-11.22524,1.41334,-4.93426,0.11774,17.1154,1.22618,5884,SARVESH,-56.73234
6c4m,0.966352484,0.006627354,1.774395354,0.008987067,0,6E-05,0,2E-05,-161.07276,11.9743,136.259,11.84852,-24.81374,6.11242,0,0,-103.27122,12.13682,-6.14792,0.18746,142.40692,11.93076,0,6E-05,0,2E-05,-83.61934,4.40372,27.8425,2.71854,-55.77684,3.28922,0,0,-25.81782,3.03418,-6.14792,0.18746,33.9904,2.79718,9692,PRADEEP,-57.80154
5yia,1.853997246,0.015444934,1.505184717,0.005734932,0,2E-05,0,4E-05,-119.05496,10.51192,88.90644,9.48216,-30.14856,5.60256,0,0,-62.28772,9.38794,-6.55628,0.29254,95.46272,9.63184,0,2E-05,0,4E-05,-72.3392,5.27804,16.5477,2.01722,-55.79148,4.33104,0,0,-15.5719,2.34698,-6.55628,0.29254,23.10398,2.15836,3292,VASAVI,-56.7673
6dz0,1.308031625,0.009449857,1.309455737,0.005265659,0,2E-05,0,4E-05,-85.8142,3.585,49.85836,3.2947,-35.95584,3.72184,0,0,-29.01066,2.77336,-4.19116,0.0879,54.0495,3.3244,0,2E-05,0,4E-05,-64.0562,2.8093,8.23264,0.72796,-55.82354,2.8075,0,0,-7.25266,0.69336,-4.19116,0.0879,12.42378,0.75454,5044,PRADEEP,-56.80352
